x1	x2	y
-0.7845324866	-0.7353798138	0
-0.4693508705	0.6650796891	0
-2.3795902122	-0.9207799596	0
-0.9096031840	-0.2236172815	0
-1.0118802124	-0.6031931458	0
-0.3781717286	0.5499819519	0
-0.9533092460	0.7970799015	0
-0.6694209738	-0.6076115275	0
-0.7392538200	-0.6780323894	0
-0.3788418350	-0.0353029502	0
-1.1307174308	-0.4814898984	0
-0.1355327291	-0.1092688447	0
-1.3028735076	-0.2489960214	0
-0.6236005652	0.2584079761	0
-0.7081539715	0.3046364527	0
0.5143735415	-0.2873788141	0
-1.3622103073	-0.5754242145	0
-0.5644367732	0.7983039640	0
-1.0805730200	-0.5940803421	0
-1.5829962586	0.4600385721	0
-0.4744399354	0.3840680663	0
-1.4705864270	0.1641628459	0
-0.9174906731	0.1546361897	0
-0.3838068018	0.1581059288	0
-0.5199356157	0.0477856183	0
-0.7955617126	0.4463881854	0
-2.0303647615	-0.2260416848	0
-1.3326036935	-0.4517548588	0
-1.1945549516	1.0570831386	0
-1.6122350533	0.6846761906	0
-2.1899686274	-0.2367994756	0
-0.8849162040	0.4145217858	0
-0.4970868625	0.5609812098	0
-1.2465858634	-0.3269320879	0
-0.3933194363	-0.1352725854	0
-1.9020464499	-0.8013550741	0
-1.6501509464	0.3515457335	0
-0.8992897962	0.4882468762	0
-1.3021132435	0.1121044906	0
-0.5576407902	-0.2187410360	0
-0.6770111320	-0.4680523216	0
-1.2567178368	-0.2699294535	0
-1.8455863226	0.3443415434	0
-1.3319175779	0.0088346761	0
-0.6600607775	0.3157452226	0
-0.5295016773	-0.0696397539	0
-1.2993171069	-0.0563692875	0
-2.1931256204	-1.0232630424	0
-1.9352898654	-0.7051599943	0
-0.7173169333	-0.6402703803	0
-1.2674013064	0.9186931397	0
-1.2519166698	0.5215022597	0
-1.6601673926	-0.1452662903	0
-1.6717670373	-0.2397325870	0
-0.4058124177	-1.2213999845	0
-0.6928160957	0.1681044565	0
-1.4201274627	-1.0225173148	0
-0.9489967360	-0.3744078852	0
-0.8354730731	0.0154518003	0
0.1326287160	-0.1692499873	0
-1.7237220176	0.1267670172	0
-0.8444388529	0.9610907514	0
-0.4094871750	0.2523459459	0
0.0347113973	-0.8405824169	0
-1.4523726471	-0.6551881315	0
-1.2756371552	-0.9734641105	0
-0.5508804584	-0.1571351761	0
-2.0400171047	-0.7181228552	0
-0.7783122325	0.5926449797	0
0.4119019537	2.0604119092	0
-0.7069682795	-0.6997091149	0
-2.5075843829	0.1893005904	0
-1.5748361612	-0.2937019353	0
-1.4328177974	-0.0995541905	0
-0.2462381502	0.1110501070	0
-1.1121717690	-0.7323177916	0
-2.1841796665	-0.3438716203	0
-1.0380300064	1.2501152306	0
-0.9078820025	0.6949017724	0
-1.3530553035	-0.8378817726	0
-1.6824406072	-0.5128122681	0
0.5050553814	-0.5808080909	0
-0.4070985981	-0.6384659305	0
-0.3412784054	0.2722014386	0
-1.1107597196	-0.0288234586	0
-1.4630048197	0.3154206786	0
-1.3217219043	-0.8666341466	0
-1.9036383247	0.1220380870	0
0.1165861355	0.1131311549	0
-1.0838899649	0.2021096016	0
-0.0765173122	0.1551268544	0
-1.2905694315	0.7822642488	0
-0.6968234149	1.0859434762	0
-0.8704336869	-0.8658303557	0
-1.9674346475	1.1673823361	0
0.2188157197	-0.1269392531	0
-1.2709543532	1.0333971694	0
-1.7827995089	-0.6326675424	0
-0.5450992610	-0.2790279583	0
-1.0036217067	-0.1155715819	0
-0.7612987474	0.9952399685	0
-0.9359467981	0.4553334874	0
-2.4496905952	-0.0344491124	0
-1.5962538422	-0.8618309800	0
-1.6209474936	-0.2362609507	0
-0.3523591014	-0.9379012852	0
-0.9783402639	-0.3423594896	0
-1.2316998670	0.7090568582	0
-0.6194949254	0.9456832709	0
-1.1092520135	-0.4921057400	0
-1.1582920874	0.1714711255	0
-0.8751437809	-0.7667781593	0
-0.9360140618	0.1613817999	0
0.7801229634	1.3271295519	0
-1.6033341592	-0.2032107238	0
-2.0348097634	-0.4176929353	0
-0.7768335618	0.8526672724	0
-1.5155401257	-0.4625513837	0
